com_id,savi_id,misc_id,employ indy,EmployIndy Partner,Address,City,State,Zip,Phone Number,Website,workoneindy,JAG,CDBG,YES,YBI,Employ Up,LEAP,Project Indy,Opportunity Youth Pilot,WorkINdiana,Adult Education,CWF,Work Readiness Grant
,,2000001,433956458,"AF-AM Consulting, Inc.",P.O. Box 551035,Indianapolis,IN,46205,317.845.9910,http://af-am.com/,0,0,0,0,0,0,0,1,0,0,0,0,0
,,2000011,433956458,Apprentice University,34 Woodsage Court,Westfield,IN,46074,317.490.4376,http://apprentice.university/,0,0,0,0,0,0,0,1,0,0,0,0,0
,,2000002,433956458,Arbor Education & Training d/b/a ResCare,1213 N. Michigan Avenue,Indianapolis,IN,46219,,https://www.rescare.com/workforceservices/,1,0,0,0,0,0,0,0,0,0,0,0,0
140965450,,,433956458,Arlington Community High School,4825 N. Arlington Avenue,Indianapolis,IN,46226,,www.myips.org/achs,0,1,0,0,0,0,0,0,0,0,0,0,0
684400252,,,433956458,Arsenal Technical High School,1500 E. Michigan Street,Indianapolis,IN,46202,,www.myips.org/ATHS,0,1,0,0,0,0,0,0,0,0,0,0,0
,,2000003,433956458,Back on My Feet Indianapolis,964 N Pennsylvania Street,Indianapolis,IN,46204,267.226.1319,https://indianapolis.backonmyfeet.org,1,0,0,0,0,0,0,0,0,0,0,0,0
423004479,,,433956458,Beech Grove High School,5330 Hornet Avenue,Beech Grove,IN,46107,,www.bgcs.k12.in.us,0,1,0,0,0,0,0,0,0,0,0,0,0
140949181,,,433956458,Ben Davis High School,1200 N. Girls School Road,Indianapolis,IN,46214,,www.bdhs.wayne.k12.in.us,0,1,0,0,0,0,0,0,0,0,0,0,0
430580674,,,433956458,Blue River Career Programs,801 St Joseph St,Shelbyville,IN,46176,317.392.4191,http://www.brcp.k12.in.us/,1,0,0,0,0,0,0,0,0,1,1,0,0
233266014,,,433956458,CAFÉ Indy,8902 E. 38th Street,Indianapolis,IN,46226,,www.cafeindy.org,1,0,0,0,0,0,0,0,0,0,0,1,0
,,2000012,433956458,Central Nine Career Center,1999 US-31,Greenwood,IN,46143,317.888.4401,http://central9.k12.in.us/,1,0,0,0,0,0,0,0,0,1,1,0,0
140939570,,,433956458,Christamore House,502 N Tremont Street,Indianapolis,IN,46222,317.635.7211,http://christamorehouse.org/,1,0,0,0,0,0,0,0,0,0,0,0,0
582358883,,,433956458,Community Action of Greater Indianapolis,3266 N Meridian Street,Indianapolis,IN,46208,317.396.1800,http://www.cagi-in.org/,1,0,0,0,0,0,0,0,0,0,0,0,0
140959107,,,433956458,Concord Neighborhood Center,1310 S Meridian Street,Indianapolis,IN,46225,317.637.4376,https://www.concordindy.org/,1,0,0,0,0,0,0,0,0,0,0,0,0
406120768,,,433956458,Conway Coaching & Consulting,7170 Tarragon Court,Indianapolis,IN,46237,317.889.6154,http://www.conwaycoaching.com/,0,0,0,0,0,1,0,0,0,0,0,0,0
406120768,,,433956458,Conway Linde Group,7171 Tarragon Court,Indianapolis,IN,46237,,https://conwaylindegroup.com/,1,0,0,0,0,0,0,0,0,0,0,0,0
,,2000013,433956458,Crossing School of Business & Entrepreneurship,2930 S Nappanee St.,Elkhart,IN,46517,574.226.0671,https://www.crossingeducation.com/,0,0,0,0,0,0,0,1,0,0,0,0,0
141011452,,,433956458,Decatur Central High School,5251 Kentucky Avenue,Indianapolis,IN,46221,,www.decaturproud.org/central-high,0,1,0,0,0,0,0,0,0,0,0,0,0
,860088,,433956458,Decatur Township School of Excellence,5106 South High School Road,Indianapolis,IN,46221,317.856.0900,http://www.decaturproud.org/excellence,0,1,0,0,0,0,0,0,0,0,0,0,0
458619533,,,433956458,Department of Workforce Development,10 N Senate Ave,Indianapolis,IN,46204,317.232.6702,http://www.in.gov/dwd/,1,0,0,0,0,0,0,0,0,0,0,0,0
,,2000004,433956458,Division of Family Resources (FSSA),3834 Madison Avenue,Indianapolis,IN,46227,,www.in.gov/fss/2407.htm,1,0,0,0,0,0,0,0,0,0,0,0,0
208273599,,,433956458,Edna Martin Christian Center,2605 E 25th Street,Indianapolis,IN,46218,317.637.3776,https://ednamartincc.org/,1,0,0,1,0,0,0,0,0,1,0,1,0
,,2000014,433956458,Elwood Community School Corporation,1306 North Anderson Street,Elwood,IN,46036,765.552.9861,http://www.elwood.k12.in.us/,1,0,0,0,0,0,0,0,0,0,1,0,0
713312225,,,433956458,"Fathers and Families Center, Inc.",2835 N Illinois Street,Indianapolis,IN,46208,317.921.5935,http://www.fatherresource.org/,1,0,1,1,0,0,0,0,1,0,0,0,0
713275753,,,433956458,Flanner House of Indianapolis,2424 Dr MLK Jr. Street,Indianapolis,IN,46208,317.925.4231,https://flannerhouse.org/,1,0,0,0,0,0,0,0,1,0,0,1,0
552827313,,,433956458,George Washington Community High School,2215 W Washington Street,Indianapolis,IN,46222,317.693.5555,https://www.myips.org/gwchs,0,1,0,0,0,0,0,0,0,0,0,0,0
