com_id,savi_id,org_name,opioid_involved,naicsmap
367844594,NA,Indiana Medicaid Fraud Unit ,1,92
233287879,NA,Indiana House-representatives ,1,92
258068634,NA,Recycle Force ,1,44
400280042,NA,Pourhouse ,1,8133
404918970,NA,Indiana Department-correction ,1,92
415255390,NA,Indiana National Guard ,1,92
418682137,NA,Fssa/financial Mgt 85 ,1,92
415254768,NA,Mental Health Amer-greater ,1,8134
401406256,NA,Marion County Drug Free ,1,8134
425161699,NA,Indiana University School Med ,1,62
476908009,NA,Professional Licensing Agency ,1,92
425729360,NA,Supreme Court ,1,92
440095801,NA,Disciple Data Inc ,1,54
472223981,NA,Governor's Office ,1,92
478223001,NA,Indianapolis Superior Courts ,1,92
459369930,NA,Natural Resources Dept ,1,92
726285378,NA,Center For Congregations ,1,8133
440159671,NA,Drug Enforcement Admin ,1,92
713306856,NA,Community Solutions Inc ,1,62
824006175,NA,Department Of Correction ,1,92
582363172,NA,Goodman Campbell Brain & Spine ,1,62
560977654,NA,Clifton Larson Allen Llp ,1,54
439704001,NA,Care Source ,1,8133
475133542,NA,Budget Agency ,1,92
440138212,NA,Marion Prosecuting Attorney ,1,92
440165397,NA,Indiana Senate ,1,92
618294649,NA,Poison Control Center ,1,62
711883747,NA,Express Scripts ,1,44
713286097,NA,Federal Home Loan Bank Indnpls ,1,54
884817230,NA,Regenstrief Institute ,1,54
893388306,NA,Education Dept ,1,92
824005730,NA,Public Defender Council ,1,92
582363297,NA,Central In Community Foundation ,1,8133
425729358,NA,Prosecuting Attorneys Council ,1,92
521296830,NA,Use What You've Got Prison ,1,8131
140906736,NA,Indiana Sheriffs' Assn Inc ,1,8133
440136299,NA,Indiana State Medical Assn ,1,8133
140817214,NA,Progress House Inc ,1,62
258062975,NA,Oda Enterprises Llc ,1,54
436499739,NA,Overdose-lifeline Inc ,1,8133
937486702,NA,Managed Health Svc Indiana Inc ,1,54
NA,100011,Ruby Recovery--Alvio Medical Cener,1,62
NA,884288,Gallahue Mental Health Center Community Hospitals of Indiana Inc,1,62
NA,100055,Recovery Works,1,8134
NA,100096,IN Addictions Coalition,1,8134
NA,100141,IUPUI - SPEA,1,54
NA,864294,INDIANAPOLIS METROPOLITAN POLICE DEPARTMENT SOUTHWEST DISTRICT,1,92
NA,883951,Community Hospitals of Indiana Inc DBA Gallahue Mental Health Center,1,62
NA,867318,MARION COUNTY PUBLIC HEALTH DEPARTMENT - SOUTH DISTRICT HEALTH OFFICE,1,62
NA,200004,Brown Building LLC,1,62
NA,863930,ADULT AND CHILD - EAST OHIO STREET,1,62
NA,100136,"Together We Can Consulting, LLC",1,62
NA,865953,WFYI INDIANAPOLIS,1,8134
NA,864149,PROGRESS HOUSE,1,8134
NA,864093,REACH FOR YOUTH - CENTER TOWNSHIP OFFICE,1,62
NA,100091,"Homeless & ReEntry Helpers, Inc.",1,8134
NA,890705,SAINT VINCENT HEALTH - INDIANAPOLIS,1,62
NA,100097,IN Div. of Mental Health & Addictions,1,92
NA,200008,Place of Power Community Services Inc,1,62
NA,100088,"Drug Prevention, Treatment, and Enforcement",1,92
NA,100064,Monroe County Opioid Commission,1,8133
NA,100054,Poorhouse,1,8133
NA,885447,REUBEN ENGAGEMENT CENTER,1,8134
NA,200009,Eskenazi Health Midtown,1,62
NA,884082,Fallcreek Counseling Services Inc,1,62
NA,100099,Independent Consultant,1,54
NA,100105,Indiana Prevention ,1,8133
NA,100051,Wellness Council of Indianapolis/ Indiana Chamber of Commerce,1,92
NA,884283,Alpha Resources Inc,1,62
NA,100031,"Living Well Journey, LLC",1,8134
NA,863212,INDIANA STATE DEPARTMENT OF HEALTH,1,92
NA,863814,INDIANA STATE INFORMATION CENTER,1,92
NA,100117,M.D. Campbell Goodman Scott ,1,62
NA,884285,Life Recovery East,1,62
NA,100103,Indiana Judicial Center  Chris ,1,8133
NA,863259,PUBLIC ADVOCATES IN COMMUNITY RE-ENTRY (PACE),1,8134
NA,100021,Creative Counseling,1,62
NA,863210,INDIANA STATE DEPARTMENT OF HEALTH OFFICE OF VITAL RECORDS,1,92
NA,867548,HORIZON HOUSE,1,62
NA,100040,Justice Reinvestment Advisory Council,1,92
NA,100098,IN Health Marriage & Family Coal.,1,92
NA,867153,MARION COUNTY PUBLIC HEALTH DEPARTMENT - EAGLEDALE PLAZA,1,62
NA,100124,Personal Counseling,1,54
NA,100135,Thresholds and Transitions,1,54
NA,883949,Gallahue Mental Health Center Community Hospitals of Indiana Inc,1,62
NA,100067,Protected Worker Project,1,8133
NA,100142,Marion County Community Corrections,1,92
NA,868653,Boys AND Girls Clubs of Indianapolis,1,8133
NA,100062,Mental Health Association of Indiana,1,8133
NA,100030,Indiana Commission to Combat Drug Abuse/NextLevel Recovery Indiana,1,92
NA,100061,Marion County 911,1,92
NA,100110,"IU Health, Indiana Board of Pharmacy ",1,54
NA,867315,INDIANAPOLIS HEALTHY START,1,8134
NA,100016,Beech Grove Comprehensive Drug Free Coalition,1,8134
NA,868506,CATHOLIC CHARITIES CRISIS OFFICE,1,62
NA,867450,ALCOHOLICS ANONYMOUS (AA) - OFICINA INTERGRUPAL HISPANA,1,8131
NA,867634,BEECH GROVE FIRE DEPARTMENT STATION 56,1,92
NA,884075,Take Back Control LLC,1,62
NA,100010,Phoenix Family and Community Services LLC,1,62
NA,100039,Indianapolis Emergency Medical Services (IEMS),1,92
NA,884290,Gods Grace Community Church Inc DBA Operation Hope Inc,1,62
NA,100106,Indiana Public Instruction,1,92
NA,100015,American Society of Addiction Medicine (Indiana Chapter),1,8133
NA,865241,INDIANA HOUSING AND COMMUNITY DEVELOPMENT AUTHORITY (IHCDA),1,92
NA,100056,Drug Free Marion County,1,8133
NA,100081,Child Protective Services Division of Family and Children,1,92
NA,867600,INDIANA UNIVERSITY HEALTH UNIVERSITY HOSPITAL,1,62
NA,100057,"American Behavioral Counseling, Inc",1,62
NA,887658,DOVE RECOVERY HOUSE,1,8134
NA,100024,Family Preservation Counseling,1,62
NA,884080,Bethlehem House,1,62
