com_id,savi_id,misc_id,involvement_source_id_fk,involvement_source_desc,org_name,qualifying_naics,PrimaryNaics,PrimaryNaics_Desc,SecondaryNaics,SecondaryNaics_Desc,group_id,group_desc,parent_group_id,parent_group_desc
NULL,NULL,2000014,2,WIB - Employ Indy Network,Elwood Community School Corporation,NULL,NULL,NULL,NULL,NULL,1,Elementary & Secondary Schools,1,Education Cluster
NULL,860088,NULL,2,WIB - Employ Indy Network,Decatur Twp School for Excellence,NULL,NULL,NULL,NULL,NULL,1,Elementary & Secondary Schools,1,Education Cluster
140714262,864976,NULL,1,Workforce & Education NAICS Custom Cluster - Primary,Beech Grove Senior High School ,611110,611110,  Elementary and secondary schools,NULL,NULL,1,Elementary & Secondary Schools,1,Education Cluster
140714312,860262,NULL,1,Workforce & Education NAICS Custom Cluster - Primary,Beech Grove Middle School ,611110,611110,  Elementary and secondary schools,NULL,NULL,1,Elementary & Secondary Schools,1,Education Cluster
140797838,860109,NULL,1,Workforce & Education NAICS Custom Cluster - Primary,Arsenal Technical School ,611110,611110,  Elementary and secondary schools,NULL,NULL,1,Elementary & Secondary Schools,1,Education Cluster
140798430,860351,NULL,1,Workforce & Education NAICS Custom Cluster - Primary,Brookside School 54 ,611110,611110,  Elementary and secondary schools,NULL,NULL,1,Elementary & Secondary Schools,1,Education Cluster
140798927,860308,NULL,1,Workforce & Education NAICS Custom Cluster - Primary,Christian Park School 82 ,611110,611110,  Elementary and secondary schools,NULL,NULL,1,Elementary & Secondary Schools,1,Education Cluster
140803750,NULL,NULL,1,Workforce & Education NAICS Custom Cluster - Primary,Indianapolis Elementary 58 ,611110,611110,  Elementary and secondary schools,NULL,NULL,1,Elementary & Secondary Schools,1,Education Cluster
140804899,860310,NULL,1,Workforce & Education NAICS Custom Cluster - Primary,Theodore Potter Ips School ,611110,611110,  Elementary and secondary schools,NULL,NULL,1,Elementary & Secondary Schools,1,Education Cluster
140804923,860319,NULL,1,Workforce & Education NAICS Custom Cluster - Primary,Thomas D Gregg Elementary Schl ,611110,611110,  Elementary and secondary schools,NULL,NULL,1,Elementary & Secondary Schools,1,Education Cluster
140715681,NULL,NULL,1,Workforce & Education NAICS Custom Cluster - Primary,Montessori Children's House ,611110,611110,  Elementary and secondary schools,624410,  Child day care services,1,Elementary & Secondary Schools,1,Education Cluster
140715970,860354,NULL,1,Workforce & Education NAICS Custom Cluster - Primary,South Grove Intermediate Schl ,611110,611110,  Elementary and secondary schools,NULL,NULL,1,Elementary & Secondary Schools,1,Education Cluster
140809369,NULL,NULL,1,Workforce & Education NAICS Custom Cluster - Primary,Charity Dye School 27 ,611110,611110,  Elementary and secondary schools,NULL,NULL,1,Elementary & Secondary Schools,1,Education Cluster
140809898,861821,NULL,4,Workforce & Education NAICS Custom Cluster - Secondary,Nu Corinthian Baptist Church ,611110,813110,  Religious organizations,611110,  Elementary and secondary schools,1,Elementary & Secondary Schools,1,Education Cluster
140809997,NULL,NULL,1,Workforce & Education NAICS Custom Cluster - Primary,Crispus Attucks High School ,611110,611110,  Elementary and secondary schools,NULL,NULL,1,Elementary & Secondary Schools,1,Education Cluster
140820044,NULL,NULL,1,Workforce & Education NAICS Custom Cluster - Primary,Indianapolis Public School 14 ,611110,611110,  Elementary and secondary schools,NULL,NULL,1,Elementary & Secondary Schools,1,Education Cluster
140823162,861707,NULL,4,Workforce & Education NAICS Custom Cluster - Secondary,Southeastern Church Of Christ ,611110,813110,  Religious organizations,611110,  Elementary and secondary schools,1,Elementary & Secondary Schools,1,Education Cluster
140824624,NULL,NULL,1,Workforce & Education NAICS Custom Cluster - Primary,Indianapolis Elementary 19 ,611110,611110,  Elementary and secondary schools,NULL,NULL,1,Elementary & Secondary Schools,1,Education Cluster
140827817,NULL,NULL,1,Workforce & Education NAICS Custom Cluster - Primary,Paul I Miller School Based ,611110,611110,  Elementary and secondary schools,NULL,NULL,1,Elementary & Secondary Schools,1,Education Cluster
140822099,NULL,NULL,1,Workforce & Education NAICS Custom Cluster - Primary,Baptist Academy ,611110,611110,  Elementary and secondary schools,611110,  Elementary and secondary schools,1,Elementary & Secondary Schools,1,Education Cluster
140866542,NULL,NULL,1,Workforce & Education NAICS Custom Cluster - Primary,Lilly Center ,611110,611110,  Elementary and secondary schools,624410,  Child day care services,1,Elementary & Secondary Schools,1,Education Cluster
140867607,860149,NULL,1,Workforce & Education NAICS Custom Cluster - Primary,Frances W Parker School 56 ,611110,611110,  Elementary and secondary schools,NULL,NULL,1,Elementary & Secondary Schools,1,Education Cluster
140869801,NULL,NULL,1,Workforce & Education NAICS Custom Cluster - Primary,Indianapolis Elementary 48 ,611110,611110,  Elementary and secondary schools,NULL,NULL,1,Elementary & Secondary Schools,1,Education Cluster
140872524,863208,NULL,1,Workforce & Education NAICS Custom Cluster - Primary,Indiana School For The Deaf ,611110,611110,  Elementary and secondary schools,813319,  Other social advocacy organizations,1,Elementary & Secondary Schools,1,Education Cluster
140877671,860224,NULL,1,Workforce & Education NAICS Custom Cluster - Primary,Crooked Creek Elementary Schl ,611110,611110,  Elementary and secondary schools,NULL,NULL,1,Elementary & Secondary Schools,1,Education Cluster
140879883,NULL,NULL,1,Workforce & Education NAICS Custom Cluster - Primary,Indianapolis Elementary 43 ,611110,611110,  Elementary and secondary schools,NULL,NULL,1,Elementary & Secondary Schools,1,Education Cluster
140883208,860105,NULL,1,Workforce & Education NAICS Custom Cluster - Primary,Shortridge Magnet High School ,611110,611110,  Elementary and secondary schools,NULL,NULL,1,Elementary & Secondary Schools,1,Education Cluster
140887357,860084,NULL,1,Workforce & Education NAICS Custom Cluster - Primary,Perry Meridian High School ,611110,611110,  Elementary and secondary schools,NULL,NULL,1,Elementary & Secondary Schools,1,Education Cluster
140889601,860306,NULL,1,Workforce & Education NAICS Custom Cluster - Primary,Anna Brochhausen School 88 ,611110,611110,  Elementary and secondary schools,NULL,NULL,1,Elementary & Secondary Schools,1,Education Cluster
140889692,860295,NULL,1,Workforce & Education NAICS Custom Cluster - Primary,Arlington Woods School 99 ,611110,611110,  Elementary and secondary schools,NULL,NULL,1,Elementary & Secondary Schools,1,Education Cluster
140894502,NULL,NULL,1,Workforce & Education NAICS Custom Cluster - Primary,Longfellow Alternative Edu ,611110,611110,  Elementary and secondary schools,NULL,NULL,1,Elementary & Secondary Schools,1,Education Cluster
140894528,NULL,NULL,1,Workforce & Education NAICS Custom Cluster - Primary,Julian Coleman Academy ,611110,611110,  Elementary and secondary schools,NULL,NULL,1,Elementary & Secondary Schools,1,Education Cluster
140905548,NULL,NULL,1,Workforce & Education NAICS Custom Cluster - Primary,Indianapolis Elementary 94 ,611110,611110,  Elementary and secondary schools,NULL,NULL,1,Elementary & Secondary Schools,1,Education Cluster
140906066,860442,NULL,1,Workforce & Education NAICS Custom Cluster - Primary,Hawthorne Elementary School ,611110,611110,  Elementary and secondary schools,NULL,NULL,1,Elementary & Secondary Schools,1,Education Cluster
140906322,862001,NULL,4,Workforce & Education NAICS Custom Cluster - Secondary,Holy Spirit Parish ,611110,813110,  Religious organizations,611110,  Elementary and secondary schools,1,Elementary & Secondary Schools,1,Education Cluster
140907171,861972,NULL,1,Workforce & Education NAICS Custom Cluster - Primary,Irvington Umc Preschool ,611110,611110,  Elementary and secondary schools,624410,  Child day care services,1,Elementary & Secondary Schools,1,Education Cluster
140909003,NULL,NULL,1,Workforce & Education NAICS Custom Cluster - Primary,Moorhead Elementary School ,611110,611110,  Elementary and secondary schools,NULL,NULL,1,Elementary & Secondary Schools,1,Education Cluster
